Data	Vendas de Sorvete	Temperatura (°C)
2023-01-01	50	18
2023-01-02	52	19
2023-01-03	55	20
2023-01-04	58	21
2023-01-05	60	22
2023-01-06	62	23
2023-01-07	65	24
2023-01-08	68	25
2023-01-09	70	26
2023-01-10	72	27
2023-01-11	75	28
2023-01-12	78	29
2023-01-13	80	30
2023-01-14	82	31
2023-01-15	85	32
2023-01-16	88	33
2023-01-17	90	34
2023-01-18	92	35
2023-01-19	95	36
2023-01-20	98	37
2023-01-21	100	38
2023-01-22	102	37
2023-01-23	105	36
2023-01-24	108	35
2023-01-25	110	34
2023-01-26	112	33
2023-01-27	115	32
2023-01-28	118	31
2023-01-29	120	30
2023-01-30	122	29
2023-01-31	125	28
2023-02-01	128	27
2023-02-02	130	26
2023-02-03	132	25
2023-02-04	135	24
2023-02-05	138	23
2023-02-06	140	22
2023-02-07	142	21
2023-02-08	145	20
2023-02-09	148	19
2023-02-10	150	18
2023-02-11	152	19
2023-02-12	155	20
2023-02-13	158	21
2023-02-14	160	22
2023-02-15	162	23
2023-02-16	165	24
2023-02-17	168	25
2023-02-18	170	26
2023-02-19	172	27
2023-02-20	175	28
2023-02-21	178	29
2023-02-22	180	30
2023-02-23	182	31
2023-02-24	185	32
2023-02-25	188	33
2023-02-26	190	34
2023-02-27	192	35
2023-02-28	195	36
2023-03-01	198	37
2023-03-02	200	38
2023-03-03	202	37
2023-03-04	205	36
2023-03-05	208	35
2023-03-06	210	34
2023-03-07	212	33
2023-03-08	215	32
2023-03-09	218	31
2023-03-10	220	30
2023-03-11	222	29
2023-03-12	225	28
2023-03-13	228	27
2023-03-14	230	26
2023-03-15	232	25
2023-03-16	235	24
2023-03-17	238	23
2023-03-18	240	22
2023-03-19	242	21
2023-03-20	245	20
2023-03-21	248	19
2023-03-22	250	18
2023-03-23	252	19
2023-03-24	255	20
2023-03-25	258	21
2023-03-26	260	22
2023-03-27	262	23
2023-03-28	265	24
2023-03-29	268	25
2023-03-30	270	26
2023-03-31	272	27
2023-04-01	275	28
2023-04-02	278	29
2023-04-03	280	30
2023-04-04	282	31
2023-04-05	285	32
2023-04-06	288	33
2023-04-07	290	34
2023-04-08	292	35
2023-04-09	295	36
